Ano;Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Despesas Empenhadas;Total Geral da Despesa;siconfi-cor_TotalDespesas;3912423950,78
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Despesas Empenhadas;3.0.00.00.00 - Despesas Correntes;siconfi-cor_DO3.0.00.00.00.00;3640230760,04
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Despesas Empenhadas;3.1.00.00.00 - Pessoal e Encargos Sociais;siconfi-cor_DO3.1.00.00.00.00;2176701454,49
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Despesas Empenhadas;3.1.90.00.00 - Aplicações Diretas;siconfi-cor_DO3.1.90.00.00.00;2003549629,31
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Despesas Empenhadas;3.1.90.01.00 - Aposentadorias do RPPS, Reserva Remunerada e Reformas dos Militares;siconfi-cor_DO3.1.90.01.00.00;357368181,13
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Despesas Empenhadas;3.1.90.03.00 - Pensões do RPPS e do Militar;siconfi-cor_DO3.1.90.03.00.00;30545408,82
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Despesas Empenhadas;3.1.90.04.00 - Contratação por Tempo Determinado;siconfi-cor_DO3.1.90.04.00.00;9950011,89
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Despesas Empenhadas;3.1.90.05.00 - Outros Benefícios Previdenciários do Servidor ou do Militar;siconfi-cor_DO3.1.90.05.00.00;34146274,26
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Despesas Empenhadas;3.1.90.11.00 - Vencimentos e Vantagens Fixas - Pessoal Civil;siconfi-cor_DO3.1.90.11.00.00;1496036393,33
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Despesas Empenhadas;3.1.90.13.00 - Obrigações Patronais;siconfi-cor_DO3.1.90.13.00.00;75470914,66
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Despesas Empenhadas;3.1.90.13.02 - Contribuições Previdenciárias - INSS;siconfi-cor_DO3.1.90.13.02.00;75470914,66
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Despesas Empenhadas;3.1.90.92.00 - Despesas de Exercícios Anteriores;siconfi-cor_DO3.1.90.92.00.00;16000,00
