Ano;Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Receitas Brutas Realizadas;RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I);siconfi-cor_ReceitasExcetoIntraOrcamentarias;3737410841,22
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Receitas Brutas Realizadas;1.0.0.0.00.0.0 - Receitas Correntes;siconfi-cor_RO1.0.0.0.00.0.0;3600964130,95
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Receitas Brutas Realizadas;1.1.0.0.00.0.0 - Impostos, Taxas e Contribuições de Melhoria;siconfi-cor_RO1.1.0.0.00.0.0;1144877192,65
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Receitas Brutas Realizadas;1.1.1.0.00.0.0 - Impostos;siconfi-cor_RO1.1.1.0.00.0.0;1090425474,54
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Receitas Brutas Realizadas;1.1.1.3.00.0.0 - Impostos sobre a Renda e Proventos de Qualquer Natureza;siconfi-cor_RO1.1.1.3.00.0.0;186993014,14
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Receitas Brutas Realizadas;1.1.1.3.03.0.0 - Imposto sobre a Renda - Retido na Fonte;siconfi-cor_RO1.1.1.3.03.0.0;186993014,14
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Receitas Brutas Realizadas;1.1.1.3.03.1.0 - Imposto sobre a Renda - Retido na Fonte - Trabalho;siconfi-cor_RO1.1.1.3.03.1.0;167566022,2
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Receitas Brutas Realizadas;1.1.1.3.03.4.0 - Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos;siconfi-cor_RO1.1.1.3.03.4.0;19426991,94
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Receitas Brutas Realizadas;1.1.1.8.00.0.0 Impostos Específicos de Estados, DF e Municípios;siconfi-cor_RO1.1.1.8.00.0.0;903432460,4
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Receitas Brutas Realizadas;1.1.1.8.01.0.0 Impostos sobre o Patrimônio para Estados/DF/Municípios;siconfi-cor_RO1.1.1.8.01.0.0;562659372,24
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Receitas Brutas Realizadas;1.1.1.8.01.1.0 Imposto sobre a Propriedade Predial e Territorial Urbana;siconfi-cor_RO1.1.1.8.01.1.0;493524866,94
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Receitas Brutas Realizadas;1.1.1.8.01.4.0 Imposto sobre Transmissão ¿Inter Vivos¿ de Bens Imóveis e de Direitos Reais sobre Imóveis;siconfi-cor_RO1.1.1.8.01.4.0;69134505,3
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Receitas Brutas Realizadas;1.1.1.8.02.0.0 Impostos sobre a Produção, Circulação de Mercadorias e Serviços;siconfi-cor_RO1.1.1.8.02.0.0;340773088,16
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Receitas Brutas Realizadas;1.1.1.8.02.3.0 Imposto sobre Serviços de Qualquer Natureza;siconfi-cor_RO1.1.1.8.02.3.0;340773088,16
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Receitas Brutas Realizadas;1.1.2.0.00.0.0 - Taxas;siconfi-cor_RO1.1.2.0.00.0.0;51914040,46
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Receitas Brutas Realizadas;1.1.2.1.00.0.0 - Taxas pelo Exercício do Poder de Polícia;siconfi-cor_RO1.1.2.1.00.0.0;17119907,82
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Receitas Brutas Realizadas;1.1.2.1.01.0.0 - Taxas de Inspeção, Controle e Fiscalização;siconfi-cor_RO1.1.2.1.01.0.0;16428962,6
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Receitas Brutas Realizadas;1.1.2.1.04.0.0 - Taxa de Controle e Fiscalização Ambiental;siconfi-cor_RO1.1.2.1.04.0.0;690945,22
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Receitas Brutas Realizadas;1.1.2.2.00.0.0 - Taxas pela Prestação de Serviços;siconfi-cor_RO1.1.2.2.00.0.0;34794132,64
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Receitas Brutas Realizadas;1.1.2.2.01.0.0 - Taxas pela Prestação de Serviços;siconfi-cor_RO1.1.2.2.01.0.0;34794132,64
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Receitas Brutas Realizadas;1.1.3.0.00.0.0 - Contribuição de Melhoria;siconfi-cor_RO1.1.3.0.00.0.0;2537677,65
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Receitas Brutas Realizadas;1.1.3.8.00.0.0 - Contribuição de Melhoria - Específica de Estados, DF e Municípios;siconfi-cor_RO1.1.3.8.00.0.0;2537677,65
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Receitas Brutas Realizadas;1.1.3.8.04.0.0 - Contribuição de Melhoria para Pavimentação e Obras Complementares;siconfi-cor_RO1.1.3.8.04.0.0;2537677,65
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Receitas Brutas Realizadas;1.2.0.0.00.0.0 - Contribuições;siconfi-cor_RO1.2.0.0.00.0.0;290993466,54
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Receitas Brutas Realizadas;1.2.1.0.00.0.0 - Contribuições Sociais;siconfi-cor_RO1.2.1.0.00.0.0;180627169,9
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Receitas Brutas Realizadas;1.2.1.6.00.0.0 - Contribuição para Fundos de Assistência Médica;siconfi-cor_RO1.2.1.6.00.0.0;53073178,36
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Receitas Brutas Realizadas;1.2.1.6.04.0.0 - Contribuição para Fundos de Assistência Médica - Outros Beneficiários;siconfi-cor_RO1.2.1.6.04.0.0;53073178,36
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Receitas Brutas Realizadas;1.2.1.6.04.1.0 - Contribuição para Fundos de Assistência Médica - Outros Beneficiários;siconfi-cor_RO1.2.1.6.04.1.0;53073178,36
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Receitas Brutas Realizadas;1.2.1.8.00.0.0 Contribuições Sociais Específicas de Estados, DF e Municípios;siconfi-cor_RO1.2.1.8.00.0.0;127553991,54
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Receitas Brutas Realizadas;1.2.1.8.01.0.0 - Contribuição do Servidor Civil para o Plano de Seguridade Social - CPSSS - Específico de EST/DF/MUN;siconfi-cor_RO1.2.1.8.01.0.0;127553991,54
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Receitas Brutas Realizadas;1.2.1.8.01.1.0 - CPSSS do Servidor Civil Ativo;siconfi-cor_RO1.2.1.8.01.1.0;114820750,62
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Receitas Brutas Realizadas;1.2.1.8.01.2.0 - CPSSS do Servidor Civil Inativo;siconfi-cor_RO1.2.1.8.01.2.0;12145163,32
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Receitas Brutas Realizadas;1.2.1.8.01.3.0 - CPSSS do Servidor Civil - Pensionistas;siconfi-cor_RO1.2.1.8.01.3.0;588077,6
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Receitas Brutas Realizadas;1.2.4.0.00.0.0 - Contribuição para o Custeio do Serviço de Iluminação Pública;siconfi-cor_RO1.2.4.0.00.0.0;110366296,64
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Receitas Brutas Realizadas;1.3.0.0.00.0.0 - Receita Patrimonial;siconfi-cor_RO1.3.0.0.00.0.0;21655516,65
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Receitas Brutas Realizadas;1.3.1.0.00.0.0 - Exploração do Patrimônio Imobiliário do Estado;siconfi-cor_RO1.3.1.0.00.0.0;13125218,36
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Receitas Brutas Realizadas;1.3.1.0.01.0.0 - Aluguéis, Arrendamentos, Foros, Laudêmios, Tarifas de Ocupação;siconfi-cor_RO1.3.1.0.01.0.0;222145,23
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Receitas Brutas Realizadas;1.3.1.0.01.1.0 - Aluguéis e Arrendamentos;siconfi-cor_RO1.3.1.0.01.1.0;222145,23
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Receitas Brutas Realizadas;1.3.1.0.02.0.0 - Concessão, Permissão, Autorização ou Cessão do Direito de Uso de Bens Imóveis Públicos;siconfi-cor_RO1.3.1.0.02.0.0;12903073,13
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Receitas Brutas Realizadas;1.3.2.0.00.0.0 - Valores Mobiliários;siconfi-cor_RO1.3.2.0.00.0.0;8118200,55
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Receitas Brutas Realizadas;1.3.2.1.00.0.0 - Juros e Correções Monetárias;siconfi-cor_RO1.3.2.1.00.0.0;8118200,55
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Receitas Brutas Realizadas;1.3.2.1.00.1.0 - Remuneração de Depósitos Bancários;siconfi-cor_RO1.3.2.1.00.1.0;7993545,49
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Receitas Brutas Realizadas;1.3.2.1.00.4.0 - Remuneração dos Recursos do Regime Próprio de Previdência Social - RPPS;siconfi-cor_RO1.3.2.1.00.4.0;124655,06
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Receitas Brutas Realizadas;1.3.3.0.00.0.0 - Delegação de Serviços Públicos Mediante Concessão, Permissão, Autorização ou Licença;siconfi-cor_RO1.3.3.0.00.0.0;412097,74
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Receitas Brutas Realizadas;1.3.3.1.00.0.0 - Delegação para Prestação dos Serviços de Transporte;siconfi-cor_RO1.3.3.1.00.0.0;412097,74
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Receitas Brutas Realizadas;1.3.3.1.01.0.0 - Delegação para a Prestação dos Serviços de Transporte Rodoviário;siconfi-cor_RO1.3.3.1.01.0.0;412097,74
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Receitas Brutas Realizadas;1.6.0.0.00.0.0 - Receita de Serviços;siconfi-cor_RO1.6.0.0.00.0.0;24078153,61
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Receitas Brutas Realizadas;1.6.1.0.00.0.0 - Serviços Administrativos e Comerciais Gerais;siconfi-cor_RO1.6.1.0.00.0.0;47855,47
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Receitas Brutas Realizadas;1.6.1.0.01.0.0 - Serviços Administrativos e Comerciais Gerais;siconfi-cor_RO1.6.1.0.01.0.0;47855,47
2019;Prefeitura Municipal de Campo Grande - MS;5002704;MS;885711;Receitas Brutas Realizadas;1.6.3.0.00.0.0 - Serviços e Atividades Referentes à Saúde;siconfi-cor_RO1.6.3.0.00.0.0;24022904,88
