Ano;Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
2019;Governo do Estado do Mato Grosso do Sul;50;MS;2748023;Despesas Empenhadas;Total Geral da Despesa;siconfi-cor_TotalDespesas;15066291275,1
2019;Governo do Estado do Mato Grosso do Sul;50;MS;2748023;Despesas Empenhadas;3.0.00.00.00 - Despesas Correntes;siconfi-cor_DO3.0.00.00.00.00;13765239244,34
2019;Governo do Estado do Mato Grosso do Sul;50;MS;2748023;Despesas Empenhadas;3.1.00.00.00 - Pessoal e Encargos Sociais;siconfi-cor_DO3.1.00.00.00.00;10426670770,64
2019;Governo do Estado do Mato Grosso do Sul;50;MS;2748023;Despesas Empenhadas;3.1.90.00.00 - Aplicações Diretas;siconfi-cor_DO3.1.90.00.00.00;8199491958,49
2019;Governo do Estado do Mato Grosso do Sul;50;MS;2748023;Despesas Empenhadas;3.1.90.01.00 - Aposentadorias do RPPS, Reserva Remunerada e Reformas dos Militares;siconfi-cor_DO3.1.90.01.00.00;2834078972,57
2019;Governo do Estado do Mato Grosso do Sul;50;MS;2748023;Despesas Empenhadas;3.1.90.03.00 - Pensões do RPPS e do Militar;siconfi-cor_DO3.1.90.03.00.00;416098473,2
2019;Governo do Estado do Mato Grosso do Sul;50;MS;2748023;Despesas Empenhadas;3.1.90.04.00 - Contratação por Tempo Determinado;siconfi-cor_DO3.1.90.04.00.00;180313406,88
2019;Governo do Estado do Mato Grosso do Sul;50;MS;2748023;Despesas Empenhadas;3.1.90.05.00 - Outros Benefícios Previdenciários do Servidor ou do Militar;siconfi-cor_DO3.1.90.05.00.00;23685853,14
2019;Governo do Estado do Mato Grosso do Sul;50;MS;2748023;Despesas Empenhadas;3.1.90.11.00 - Vencimentos e Vantagens Fixas - Pessoal Civil;siconfi-cor_DO3.1.90.11.00.00;3600716509,75
2019;Governo do Estado do Mato Grosso do Sul;50;MS;2748023;Despesas Empenhadas;3.1.90.12.00 - Vencimentos e Vantagens Fixas - Pessoal Militar;siconfi-cor_DO3.1.90.12.00.00;582021657,69
2019;Governo do Estado do Mato Grosso do Sul;50;MS;2748023;Despesas Empenhadas;3.1.90.13.00 - Obrigações Patronais;siconfi-cor_DO3.1.90.13.00.00;147032796,57
2019;Governo do Estado do Mato Grosso do Sul;50;MS;2748023;Despesas Empenhadas;3.1.90.13.01 - FGTS;siconfi-cor_DO3.1.90.13.01.00;152870,48
2019;Governo do Estado do Mato Grosso do Sul;50;MS;2748023;Despesas Empenhadas;3.1.90.13.02 - Contribuições Previdenciárias - INSS;siconfi-cor_DO3.1.90.13.02.00;146708466,13
2019;Governo do Estado do Mato Grosso do Sul;50;MS;2748023;Despesas Empenhadas;3.1.90.13.99 - Outras Obrigações Patronais;siconfi-cor_DO3.1.90.13.99.00;171459,96
2019;Governo do Estado do Mato Grosso do Sul;50;MS;2748023;Despesas Empenhadas;3.1.90.16.00 - Outras Despesas Variáveis - Pessoal Civil;siconfi-cor_DO3.1.90.16.00.00;128825967,9
2019;Governo do Estado do Mato Grosso do Sul;50;MS;2748023;Despesas Empenhadas;3.1.90.17.00 - Outras Despesas Variáveis - Pessoal Militar;siconfi-cor_DO3.1.90.17.00.00;1052187,32
2019;Governo do Estado do Mato Grosso do Sul;50;MS;2748023;Despesas Empenhadas;3.1.90.91.00 - Sentenças Judiciais;siconfi-cor_DO3.1.90.91.00.00;176343915,36
2019;Governo do Estado do Mato Grosso do Sul;50;MS;2748023;Despesas Empenhadas;3.1.90.92.00 - Despesas de Exercícios Anteriores;siconfi-cor_DO3.1.90.92.00.00;38600326,23
2019;Governo do Estado do Mato Grosso do Sul;50;MS;2748023;Despesas Empenhadas;3.1.90.94.00 - Indenizações e Restituições Trabalhistas;siconfi-cor_DO3.1.90.94.00.00;67581354,93
2019;Governo do Estado do Mato Grosso do Sul;50;MS;2748023;Despesas Empenhadas;3.1.90.96.00 - Ressarcimento de Despesas de Pessoal Requisitado;siconfi-cor_DO3.1.90.96.00.00;3140536,95
