Ano;Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
2019;Governo do Estado do Mato Grosso do Sul;50;MS;2748023;Receitas Brutas Realizadas;RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I);siconfi-cor_ReceitasExcetoIntraOrcamentarias;17276550624,56
2019;Governo do Estado do Mato Grosso do Sul;50;MS;2748023;Receitas Brutas Realizadas;1.0.0.0.00.0.0 - Receitas Correntes;siconfi-cor_RO1.0.0.0.00.0.0;17171508547,23
2019;Governo do Estado do Mato Grosso do Sul;50;MS;2748023;Receitas Brutas Realizadas;1.1.0.0.00.0.0 - Impostos, Taxas e Contribuições de Melhoria;siconfi-cor_RO1.1.0.0.00.0.0;11131797546,44
2019;Governo do Estado do Mato Grosso do Sul;50;MS;2748023;Receitas Brutas Realizadas;1.1.1.0.00.0.0 - Impostos;siconfi-cor_RO1.1.1.0.00.0.0;10877384308,78
2019;Governo do Estado do Mato Grosso do Sul;50;MS;2748023;Receitas Brutas Realizadas;1.1.1.3.00.0.0 - Impostos sobre a Renda e Proventos de Qualquer Natureza;siconfi-cor_RO1.1.1.3.00.0.0;877420689,13
2019;Governo do Estado do Mato Grosso do Sul;50;MS;2748023;Receitas Brutas Realizadas;1.1.1.3.03.0.0 - Imposto sobre a Renda - Retido na Fonte;siconfi-cor_RO1.1.1.3.03.0.0;877420689,13
2019;Governo do Estado do Mato Grosso do Sul;50;MS;2748023;Receitas Brutas Realizadas;1.1.1.3.03.1.0 - Imposto sobre a Renda - Retido na Fonte - Trabalho;siconfi-cor_RO1.1.1.3.03.1.0;877420689,13
2019;Governo do Estado do Mato Grosso do Sul;50;MS;2748023;Receitas Brutas Realizadas;1.1.1.8.00.0.0 Impostos Específicos de Estados, DF e Municípios;siconfi-cor_RO1.1.1.8.00.0.0;9999963619,65
2019;Governo do Estado do Mato Grosso do Sul;50;MS;2748023;Receitas Brutas Realizadas;1.1.1.8.01.0.0 Impostos sobre o Patrimônio para Estados/DF/Municípios;siconfi-cor_RO1.1.1.8.01.0.0;894701989,81
2019;Governo do Estado do Mato Grosso do Sul;50;MS;2748023;Receitas Brutas Realizadas;1.1.1.8.01.2.0 Imposto sobre a Propriedade de Veículos Automotores;siconfi-cor_RO1.1.1.8.01.2.0;716062287,86
2019;Governo do Estado do Mato Grosso do Sul;50;MS;2748023;Receitas Brutas Realizadas;1.1.1.8.01.3.0 Imposto sobre Transmissão ¿Causa Mortis¿ e Doação de Bens e Direitos;siconfi-cor_RO1.1.1.8.01.3.0;178639701,95
2019;Governo do Estado do Mato Grosso do Sul;50;MS;2748023;Receitas Brutas Realizadas;1.1.1.8.02.0.0 Impostos sobre a Produção, Circulação de Mercadorias e Serviços;siconfi-cor_RO1.1.1.8.02.0.0;9105261629,84
2019;Governo do Estado do Mato Grosso do Sul;50;MS;2748023;Receitas Brutas Realizadas;1.1.1.8.02.1.0 Imposto sobre Operações Relativas à Circulação de Mercadorias e sobre Prestações de Serviços de Transporte Interestadual e Intermunicipal e de Comunicação;siconfi-cor_RO1.1.1.8.02.1.0;9021941428,56
2019;Governo do Estado do Mato Grosso do Sul;50;MS;2748023;Receitas Brutas Realizadas;1.1.1.8.02.2.0 Adicional ICMS - Fundo Estadual de Combate à Pobreza;siconfi-cor_RO1.1.1.8.02.2.0;83320201,28
2019;Governo do Estado do Mato Grosso do Sul;50;MS;2748023;Receitas Brutas Realizadas;1.1.2.0.00.0.0 - Taxas;siconfi-cor_RO1.1.2.0.00.0.0;254413237,66
2019;Governo do Estado do Mato Grosso do Sul;50;MS;2748023;Receitas Brutas Realizadas;1.1.2.1.00.0.0 - Taxas pelo Exercício do Poder de Polícia;siconfi-cor_RO1.1.2.1.00.0.0;4801835,43
2019;Governo do Estado do Mato Grosso do Sul;50;MS;2748023;Receitas Brutas Realizadas;1.1.2.1.01.0.0 - Taxas de Inspeção, Controle e Fiscalização;siconfi-cor_RO1.1.2.1.01.0.0;4684691,49
2019;Governo do Estado do Mato Grosso do Sul;50;MS;2748023;Receitas Brutas Realizadas;1.1.2.1.04.0.0 - Taxa de Controle e Fiscalização Ambiental;siconfi-cor_RO1.1.2.1.04.0.0;117143,94
2019;Governo do Estado do Mato Grosso do Sul;50;MS;2748023;Receitas Brutas Realizadas;1.1.2.2.00.0.0 - Taxas pela Prestação de Serviços;siconfi-cor_RO1.1.2.2.00.0.0;231543397,61
2019;Governo do Estado do Mato Grosso do Sul;50;MS;2748023;Receitas Brutas Realizadas;1.1.2.2.01.0.0 - Taxas pela Prestação de Serviços;siconfi-cor_RO1.1.2.2.01.0.0;63829369,19
2019;Governo do Estado do Mato Grosso do Sul;50;MS;2748023;Receitas Brutas Realizadas;1.1.2.2.02.0.0 - Emolumentos e Custas Judiciais;siconfi-cor_RO1.1.2.2.02.0.0;167714028,42
2019;Governo do Estado do Mato Grosso do Sul;50;MS;2748023;Receitas Brutas Realizadas;1.1.2.8.00.0.0 - Taxas - Específicas de Estados, DF e Municípios;siconfi-cor_RO1.1.2.8.00.0.0;18068004,62
2019;Governo do Estado do Mato Grosso do Sul;50;MS;2748023;Receitas Brutas Realizadas;1.1.2.8.01.0.0 - Taxas de Inspeção, Controle e Fiscalização;siconfi-cor_RO1.1.2.8.01.0.0;18068004,62
