Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2703391;Despesas Empenhadas;Total Geral da Despesa;siconfi-cor_TotalDespesas;12288331897,42
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2703391;Despesas Empenhadas;3.0.00.00.00 - Despesas Correntes;siconfi-cor_DO3.0.00.00.00.00;10980523064,5
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2703391;Despesas Empenhadas;3.1.00.00.00 - Pessoal e Encargos Sociais;siconfi-cor_DO3.1.00.00.00.00;6177418266,72
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2703391;Despesas Empenhadas;3.1.90.00.00 - Aplicações Diretas;siconfi-cor_DO3.1.90.00.00.00;5379953077,96
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2703391;Despesas Empenhadas;3.1.90.01.00 - Aposentadorias do RPPS, Reserva Remunerada e Reformas dos Militares;siconfi-cor_DO3.1.90.01.00.00;1176592181,77
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2703391;Despesas Empenhadas;3.1.90.03.00 - Pensões do RPPS e do Militar;siconfi-cor_DO3.1.90.03.00.00;174947483,08
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2703391;Despesas Empenhadas;3.1.90.04.00 - Contratação por Tempo Determinado;siconfi-cor_DO3.1.90.04.00.00;453463896,32
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2703391;Despesas Empenhadas;3.1.90.07.00 - Contribuição a Entidades Fechadas de Previdência;siconfi-cor_DO3.1.90.07.00.00;232954,48
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2703391;Despesas Empenhadas;3.1.90.11.00 - Vencimentos e Vantagens Fixas - Pessoal Civil;siconfi-cor_DO3.1.90.11.00.00;3361815023,37
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2703391;Despesas Empenhadas;3.1.90.13.00 - Obrigações Patronais;siconfi-cor_DO3.1.90.13.00.00;85063402,92
