Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;Total Geral da Despesa;siconfi-cor_TotalDespesas;43629025525,5
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.0.00.00.00 - Despesas Correntes;siconfi-cor_DO3.0.00.00.00.00;36197842876,64
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.1.00.00.00 - Pessoal e Encargos Sociais;siconfi-cor_DO3.1.00.00.00.00;23721651236,49
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.1.90.00.00 - Aplicações Diretas;siconfi-cor_DO3.1.90.00.00.00;22090924858,48
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.1.90.01.00 - Aposentadorias, Reserva Remunerada e Reformas;siconfi-cor_DO3.1.90.01.00.00;7416452014,12
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.1.90.03.00 - Pensões;siconfi-cor_DO3.1.90.03.00.00;1385784489,44
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.1.90.04.00 - Contratação por Tempo Determinado;siconfi-cor_DO3.1.90.04.00.00;2091728187,33
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.1.90.07.00 - Contribuição a Entidades Fechadas de Previdência;siconfi-cor_DO3.1.90.07.00.00;55946847,56
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.1.90.11.00 - Vencimentos e Vantagens Fixas - Pessoal Civil;siconfi-cor_DO3.1.90.11.00.00;7494420311,7
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.1.90.12.00 - Vencimentos e Vantagens Fixas - Pessoal Militar;siconfi-cor_DO3.1.90.12.00.00;1600577200,58
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.1.90.13.00 - Obrigações Patronais;siconfi-cor_DO3.1.90.13.00.00;273247874,43
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.1.90.13.01 - FGTS;siconfi-cor_DO3.1.90.13.01.00;30311904,91
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.1.90.13.18 - Contribuição para o PIS/PASEP s/ folha Pagto.;siconfi-cor_DO3.1.90.13.18.00;5171237,83
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.1.90.13.99 - Outras Obrigações Patronais;siconfi-cor_DO3.1.90.13.99.00;237764731,69
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.1.90.16.00 - Outras Despesas Variáveis - Pessoal Civil;siconfi-cor_DO3.1.90.16.00.00;321956348,94
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.1.90.17.00 - Outras Despesas Variáveis - Pessoal Militar;siconfi-cor_DO3.1.90.17.00.00;161956,95
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.1.90.67.00 - Depósitos Compulsórios;siconfi-cor_DO3.1.90.67.00.00;118824,7
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.1.90.91.00 - Sentenças Judiciais;siconfi-cor_DO3.1.90.91.00.00;540802586,17
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.1.90.92.00 - Despesas de Exercícios Anteriores;siconfi-cor_DO3.1.90.92.00.00;285390624,06
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.1.90.94.00 - Indenizações e Restituições Trabalhistas;siconfi-cor_DO3.1.90.94.00.00;609988900,54
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.1.90.96.00 - Ressarcimento de Despesas de Pessoal Requisitado;siconfi-cor_DO3.1.90.96.00.00;14348691,96
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.1.91.00.00 - Aplicação Direta Decorrente de Operação entre Órgãos, Fundos e Entidades Integrantes dos Orçamentos Fiscal e da Seguridade Social;siconfi-cor_DI3.1.91.00.00.00;1630726378,01
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.1.91.13.00 - Contribuições Patronais;siconfi-cor_DI3.1.91.13.00.00;1596700086,94
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.1.91.13.11 - Contribuições previdenciárias - RPPS - pessoal ativo - plano financeiro;siconfi-cor_DI3.1.91.13.11.00;1596700086,94
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.1.91.92.00 - Despesas de Exercícios Anteriores;siconfi-cor_DI3.1.91.92.00.00;4353636,97
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.1.91.96.00 - Ressarcimento de Despesas de Pessoal Requisitado;siconfi-cor_DI3.1.91.96.00.00;22609038,19
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.1.91.99.00 - A Classificar;siconfi-cor_DI3.1.91.99.00.00;7063615,91
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.2.00.00.00 - Juros e Encargos da Dívida;siconfi-cor_DO3.2.00.00.00.00;1018816220,13
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.2.90.00.00 - Aplicações Diretas;siconfi-cor_DO3.2.90.00.00.00;1018816220,13
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.2.90.21.00 - Juros sobre a Dívida por Contrato;siconfi-cor_DO3.2.90.21.00.00;1002201643,92
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.2.90.22.00 - Outros Encargos sobre a Dívida por Contrato;siconfi-cor_DO3.2.90.22.00.00;16614576,21
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.3.00.00.00 - Outras Despesas Correntes;siconfi-cor_DO3.3.00.00.00.00;11457375420,02
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.3.20.00.00 - Transferências à União;siconfi-cor_DO3.3.20.00.00.00;252000,00
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.3.40.00.00 - Transferências a Municípios;siconfi-cor_DO3.3.40.00.00.00;64437299,89
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.3.40.41.00 - Contribuições;siconfi-cor_DO3.3.40.41.00.00;64437299,89
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.3.41.00.00 - Transferências a Municípios - Fundo a Fundo;siconfi-cor_DO3.3.41.00.00.00;268888396,4
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.3.42.00.00 - Execução Orçamentária Delegada a Municípios;siconfi-cor_DO3.3.42.00.00.00;193543476,88
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.3.50.00.00 - Transferências a Instituições Privadas sem Fins Lucrativos;siconfi-cor_DO3.3.50.00.00.00;1395348674,54
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.3.60.00.00 - Transferências a Instituições Privadas com Fins Lucrativos;siconfi-cor_DO3.3.60.00.00.00;89288627,88
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.3.72.00.00 - Execução Orçamentária Delegada a Consórcios Públicos;siconfi-cor_DO3.3.72.00.00.00;1657698,87
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.3.90.00.00 - Aplicações Diretas;siconfi-cor_DO3.3.90.00.00.00;9067926672,02
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.3.90.08.00 - Outros Benefícios Assistenciais do servidor e do militar;siconfi-cor_DO3.3.90.08.00.00;73149808,63
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.3.90.14.00 - Diárias - Civil;siconfi-cor_DO3.3.90.14.00.00;33928379,67
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.3.90.15.00 - Diárias - Militar;siconfi-cor_DO3.3.90.15.00.00;15965125,2
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.3.90.18.00 - Auxílio Financeiro a Estudantes;siconfi-cor_DO3.3.90.18.00.00;316618224,11
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.3.90.20.00 - Auxílio Financeiro a Pesquisadores;siconfi-cor_DO3.3.90.20.00.00;29936865,65
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.3.90.30.00 - Material de Consumo;siconfi-cor_DO3.3.90.30.00.00;948670643,14
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.3.90.31.00 - Premiações Culturais, Artísticas, Científicas, Desportivas e Outras;siconfi-cor_DO3.3.90.31.00.00;17953934,36
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.3.90.32.00 - Material, Bem ou Serviço para Distribuição Gratuita;siconfi-cor_DO3.3.90.32.00.00;29384569,55
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.3.90.33.00 - Passagens e Despesas com Locomoção;siconfi-cor_DO3.3.90.33.00.00;31129341,85
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.3.90.34.00 - Outras Despesas de Pessoal decorrentes de Contratos de Terceirização;siconfi-cor_DO3.3.90.34.00.00;58725972,84
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.3.90.35.00 - Serviços de Consultoria;siconfi-cor_DO3.3.90.35.00.00;12734867,73
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.3.90.36.00 - Outros Serviços de Terceiros - Pessoa Física;siconfi-cor_DO3.3.90.36.00.00;206521015,21
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.3.90.37.00 - Locação de Mão-de-Obra;siconfi-cor_DO3.3.90.37.00.00;603993194,33
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.3.90.39.00 - Outros Serviços de Terceiros - Pessoa Jurídica;siconfi-cor_DO3.3.90.39.00.00;3571467283,4
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.3.90.40.00 - Serviços de Tecnologia da Informação e Comunicação (TIC) - Pessoa Jurídica;siconfi-cor_DO3.3.90.40.00.00;370468825,47
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.3.90.46.00 - Auxílio-Alimentação;siconfi-cor_DO3.3.90.46.00.00;553557537,3
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.3.90.47.00 - Obrigações Tributárias e Contributivas;siconfi-cor_DO3.3.90.47.00.00;401856528,02
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.3.90.48.00 - Outros Auxílios Financeiros a Pessoas Físicas;siconfi-cor_DO3.3.90.48.00.00;481094424,39
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.3.90.49.00 - Auxílio-Transporte;siconfi-cor_DO3.3.90.49.00.00;7235125,68
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.3.90.59.00 - Pensões Especiais;siconfi-cor_DO3.3.90.59.00.00;32542867,75
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.3.90.67.00 - Depósitos Compulsórios;siconfi-cor_DO3.3.90.67.00.00;110977,68
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.3.90.86.00 - Compensações a Regimes de Previdência;siconfi-cor_DO3.3.90.86.00.00;363648,08
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.3.90.91.00 - Sentenças Judiciais;siconfi-cor_DO3.3.90.91.00.00;539429973,92
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.3.90.92.00 - Despesas de Exercícios Anteriores;siconfi-cor_DO3.3.90.92.00.00;166192693,25
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.3.90.93.00 - Indenizações e Restituições;siconfi-cor_DO3.3.90.93.00.00;549608615,71
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.3.90.99.00 - A Classificar;siconfi-cor_DO3.3.90.99.00.00;15286229,1
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.3.91.00.00 - Aplicação Direta Decorrente de Operação entre Órgãos, Fundos e Entidades Integrantes dos Orçamentos Fiscal e da Seguridade Social;siconfi-cor_DI3.3.91.00.00.00;375735892,88
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;3.3.94.00.00 - Aplicação Direta Decorrente de Operação de Órgãos, Fundos e Entidades Integrantes dos Orçamentos Fiscal e da Seguridade Social com Consórcio Público do qual o Ente Não Participe;siconfi-cor_DO3.3.94.00.00.00;296680,66
Governo do Estado de Santa Catarina;42;SC;7338473;Despesas Empenhadas;4.0.00.00.00 - Despesas de Capital;siconfi-cor_DO4.0.00.00.00.00;7431182648,86
